Adresse,Format,RD/WR,Einheit,Bemerkung,EinstellbeIrnedicehx,Voreinstellung,Abk
800,FLOAT,RD,Hz,Measured frequency,,,f
802,FLOAT,RD,-,"Voltage, zero sequence",,,U_zero
804,FLOAT,RD,-,"Voltage, negative sequence",,,U_neg
806,FLOAT,RD,-,"Voltage, positive sequence",,,U_pos
808,FLOAT,RD,V,Voltage U1 L1-N,[0],,U1
810,FLOAT,RD,V,Voltage U2 L2-N,[1],,U2
812,FLOAT,RD,V,Voltage U3 L3-N,[2],,U3
814,FLOAT,RD,V,Voltage U1 L1-L2,[0],,U12
816,FLOAT,RD,V,Voltage U2 L2-L3,[1],,U23
818,FLOAT,RD,V,Voltage U3 L3-L1,[2],,U31
820,FLOAT,RD,-,"Fund. power factor, CosPhi; ULN, IL1",[0],,CosPhi1
822,FLOAT,RD,-,"Fund. power factor, CosPhi; ULN, IL2",[1],,CosPhi2
824,FLOAT,RD,-,"Fund. power factor, CosPhi; ULN, IL3",[2],,CosPhi3
826,FLOAT,RD,-,Sum; CosPhisum3=P0sum3/Ssum3,[3],,CosPhi123
828,FLOAT,RD,-,"Power factor; UL1N, IL1",[0],,ULN_powerfactor1
830,FLOAT,RD,-,"Power factor; UL2N, IL2",[1],,ULN_powerfactor2
832,FLOAT,RD,-,"Power factor; UL3N, IL3",[2],,ULN_powerfactor3
834,FLOAT,RD,-,Sum; Power factor sum3=Psum3/Ssum3,[3],,ULN_powerfactor123
836,FLOAT,RD,%,"THD, U L1N, bezogen auf U0 L1",[0],,THD_U1
838,FLOAT,RD,%,"THD, U L2N, bezogen auf U0 L2",[1],,THD_U2
840,FLOAT,RD,%,"THD, U L3N, bezogen auf U0 L3",[2],,THD_U3
842,FLOAT,RD,%,"THD, U L1L2, bezogen auf U0 L1L2",[0],,THD_U12
844,FLOAT,RD,%,"THD, U L2L3, bezogen auf U0 L2L3",[1],,THD_U23
846,FLOAT,RD,%,"THD, U L3L1, bezogen auf U0 L3L1",[2],,THD_U31
848,FLOAT,RD,V,"Voltage, real part U1 L1N",[0],,U1_real
850,FLOAT,RD,V,"Voltage, real part U2 L2N",[1],,U2_real
852,FLOAT,RD,V,"Voltage, real part U3 L3N",[2],,U3_real
854,FLOAT,RD,V,"Voltage, imaginary part U L1N",[0],,U1_imag
856,FLOAT,RD,V,"Voltage, imaginary part U L2N",[1],,U2_imag
858,FLOAT,RD,V,"Voltage, imaginary part U L3N",[2],,U3_imag
860,FLOAT,RD,A,Current I1 L1,[0],,I1
862,FLOAT,RD,A,Current I2 L2,[1],,I2
864,FLOAT,RD,A,Current I3 L3,[2],,I3
866,FLOAT,RD,A,Vector sum; IN=I1+I2+I3,[3],,I123
868,FLOAT,RD,W,Real power P1 L1N,[0],,P1
870,FLOAT,RD,W,Real power P2 L2N,[1],,P2
872,FLOAT,RD,W,Real power P3 L3N,[2],,P3
874,FLOAT,RD,W,Sum; Psum3=P1+P2+P3,[3],,P123
876,FLOAT,RD,var,Fund. reactive power Q1 L1N,[0],,Q1
878,FLOAT,RD,var,Fund. reactive power Q2 L2N,[1],,Q2
880,FLOAT,RD,var,Fund. reactive power Q3 L3N,[2],,Q3
882,FLOAT,RD,var,Sum; Qsum3=Q1+Q2+Q3,[3],,Q123
884,FLOAT,RD,VA,Apparent power S1 L1N,[0],,S1
886,FLOAT,RD,VA,Apparent power S2 L2N,[1],,S2
888,FLOAT,RD,VA,Apparent power S3 L3N,[2],,S3
890,FLOAT,RD,VA,Sum; Ssum3=S1+S2+S3,[3],,S123
892,FLOAT,RD,W,Fund. real power P01 L1N,[0],,P01
894,FLOAT,RD,W,Fund. real power P02 L2N,[1],,P02
896,FLOAT,RD,W,Fund. real power P03 L3N,[2],,P03
898,FLOAT,RD,W,Sum; P0sum3=P01+P02+P03,[3],,P0123
900,FLOAT,RD,var,Harmonic distortion power D1 L1N,[0],,D1
902,FLOAT,RD,var,Harmonic distortion power D2 L2N,[1],,D2
904,FLOAT,RD,var,Harmonic distortion power D3 L3N,[2],,D3
906,FLOAT,RD,var,Sum; Dsum3=D1+D2+D3,[3],,D123
908,FLOAT,RD,%,"THDI1 I1, bezogen auf I01",[0],,THD_I1
910,FLOAT,RD,%,"THDI2 I2, bezogen auf I02",[1],,THD_I2
912,FLOAT,RD,%,"THDI3 I3, bezogen auf I03",[2],,THD_I3
914,FLOAT,RD,%,"TDDI1 I1, bezogen auf den Nenn-Laststrom",[0],,TDD_I1
916,FLOAT,RD,%,"TDDI2 I2, bezogen auf den Nenn-Laststrom",[1],,TDD_I2
918,FLOAT,RD,%,"TDDI3 I3, bezogen auf den Nenn-Laststrom",[2],,TDD_I3
920,FLOAT,RD,-,"Current, zero sequence",,,I_zero
922,FLOAT,RD,-,"Current, negative sequence",,,I_neg
924,FLOAT,RD,-,"Current, positive sequence",,,I_pos
926,FLOAT,RD,A,"Current, real part I L1",[0],,I1_real
928,FLOAT,RD,A,"Current, real part I L2",[1],,I2_real
930,FLOAT,RD,A,"Current, real part I L3",[2],,I3_real
932,FLOAT,RD,A,"Current, imaginary part I L",[0],,I1_imag
934,FLOAT,RD,A,"Current, imaginary part I L",[1],,I2_imag
936,FLOAT,RD,A,"Current, imaginary part I L",[2],,I3_imag
938,FLOAT,RD,-,"Rotation field; 1=right, 0=none, -1=left",,,rot_field
1720,FLOAT,RD,Hz,"Average, measured frequency",,,f_av
1722,FLOAT,RD,-,"Average, Voltage, zero sequence",,,U_zero_av
1724,FLOAT,RD,-,"Average, Voltage, negative sequence",,,U_neg_av
1726,FLOAT,RD,-,"Average, Voltage, positive sequence",,,U_pos_av
1728,FLOAT,RD,V,"Average, Voltage LN",[0],,U1_av
1730,FLOAT,RD,V,"Average, Voltage LN",[1],,U2_av
1732,FLOAT,RD,V,"Average, Voltage LN",[2],,U3_av
1734,FLOAT,RD,V,"Average, Voltage LL",[0],,U12_av
1736,FLOAT,RD,V,"Average, Voltage LL",[1],,U23_av
1738,FLOAT,RD,V,"Average, Voltage LL",[2],,U31_av
2220,FLOAT,RD,-,"Average, Fund. power factor, CosPhi; ULN IL",[0],,CosPhi1_av
2222,FLOAT,RD,-,"Average, Fund. power factor, CosPhi; ULN IL",[1],,CosPhi2_av
2224,FLOAT,RD,-,"Average, Fund. power factor, CosPhi; ULN IL",[2],,CosPhi3_av
2226,FLOAT,RD,-,"Average, Sum; CosPhisum3=P0sum3/Ssum3",[3],,CosPhi123_av
2228,FLOAT,RD,-,"Average, Power factor; ULN IL",[0],,ULN_powerfactor1_av
2230,FLOAT,RD,-,"Average, Power factor; ULN IL",[1],,ULN_powerfactor2_av
2232,FLOAT,RD,-,"Average, Power factor; ULN IL",[2],,ULN_powerfactor3_av
2234,FLOAT,RD,-,"Average, Sum; Power factor sum3=Psum3/Ssum3",[3],,ULN_powerfactor123_av
2236,FLOAT,RD,V,"Average, THD, U LN",[0],,THD_U1_av
2238,FLOAT,RD,V,"Average, THD, U LN",[1],,THD_U2_av
2240,FLOAT,RD,V,"Average, THD, U LN",[2],,THD_U3_av
